frame,errorType,checksum,crc8,crc10,crc16,crc32
513,3,1,1,1,1,1
514,4,0,0,0,0,1
515,0,0,0,0,0,0
516,1,1,1,1,1,1
517,2,0,1,1,1,1
518,3,1,1,1,1,1
519,4,0,1,0,0,1
520,0,0,0,0,0,0
521,1,1,1,1,1,1
522,2,0,1,1,1,1
523,3,1,1,1,1,1
524,4,0,0,0,0,1
525,0,0,0,0,0,0
526,1,1,1,1,1,1
527,2,0,1,1,1,1
528,3,1,1,1,1,1
529,4,0,0,0,0,1
530,0,0,0,0,0,0
531,1,1,1,1,1,1
532,2,0,1,1,1,1
533,3,1,1,1,1,1
534,4,0,0,0,0,1
535,0,0,0,0,0,0
536,1,1,1,1,1,1
537,2,1,1,1,1,1
538,3,1,1,1,1,1
539,4,0,0,0,0,1
540,0,0,0,0,0,0
541,1,1,1,1,1,1
542,2,1,1,1,1,1
543,3,1,1,1,1,1
544,4,0,0,0,0,1
545,0,0,0,0,0,0
546,1,1,1,1,1,1
547,2,0,1,1,1,1
548,3,1,1,1,1,1
549,4,0,1,0,0,1
550,0,0,0,0,0,0
551,1,1,1,1,1,1
552,2,1,1,1,1,1
553,3,1,1,1,1,1
554,4,0,1,1,0,1
555,0,0,0,0,0,0
556,1,1,1,1,1,1
557,2,0,1,1,1,1
558,3,1,1,1,1,1
559,4,0,0,0,0,1
560,0,0,0,0,0,0
561,1,1,1,1,1,1
562,2,0,1,1,1,1
563,3,1,1,1,1,1
564,4,0,0,0,0,1
565,0,0,0,0,0,0
566,1,1,1,1,1,1
567,2,0,1,1,1,1
568,3,1,1,1,1,1
569,4,0,0,0,0,1
570,0,0,0,0,0,0
571,1,1,1,1,1,1
572,2,0,1,1,1,1
573,3,1,1,1,1,1
574,4,0,1,0,0,1
575,0,0,0,0,0,0
576,1,1,1,1,1,1
577,2,1,1,1,1,1
578,3,1,1,1,1,1
579,4,0,0,1,1,1
580,0,0,0,0,0,0
581,1,1,1,1,1,1
582,2,0,1,1,1,1
583,3,1,1,1,1,1
584,4,0,0,0,1,1
585,0,0,0,0,0,0
586,1,1,1,1,1,1
587,2,0,1,1,1,1
588,3,1,1,1,1,1
589,4,0,1,1,0,1
590,0,0,0,0,0,0
591,1,1,1,1,1,1
592,2,0,1,1,1,1
593,3,1,1,1,1,1
594,4,0,0,0,1,1
595,0,0,0,0,0,0
596,1,1,1,1,1,1
597,2,1,1,1,1,1
598,3,1,1,1,1,1
599,4,0,0,1,0,1
600,0,0,0,0,0,0
601,1,1,1,1,1,1
602,2,0,1,1,1,1
603,3,1,1,1,1,1
604,4,0,0,0,0,1
605,0,0,0,0,0,0
606,1,1,1,1,1,1
607,2,1,1,1,1,1
608,3,1,1,1,1,1
609,4,0,1,1,0,1
610,0,0,0,0,0,0
611,1,1,1,1,1,1
612,2,0,1,1,1,1
613,3,1,1,1,1,1
614,4,0,1,0,0,1
615,0,0,0,0,0,0
616,1,1,1,1,1,1
617,2,0,1,1,1,1
618,3,1,1,1,1,1
619,4,0,0,0,0,1
620,0,0,0,0,0,0
621,1,1,1,1,1,1
622,2,0,1,1,1,1
623,3,1,1,1,1,1
624,4,0,0,0,0,1
625,0,0,0,0,0,0
626,1,1,1,1,1,1
627,2,0,1,1,1,1
628,3,1,1,1,1,1
629,4,0,0,0,0,1
630,0,0,0,0,0,0
631,1,1,1,1,1,1
632,2,0,1,1,1,1
633,3,1,1,1,1,1
634,4,0,0,0,0,1
635,0,0,0,0,0,0
636,1,1,1,1,1,1
637,2,0,1,1,1,1
638,3,1,1,1,1,1
639,4,0,0,0,0,1
640,0,0,0,0,0,0
641,1,1,1,1,1,1
642,2,0,1,1,1,1
643,3,1,1,1,1,1
644,4,0,1,0,0,1
645,0,0,0,0,0,0
646,1,1,1,1,1,1
647,2,0,1,1,1,1
648,3,1,1,1,1,1
649,4,0,0,0,1,1
650,0,0,0,0,0,0
651,1,1,1,1,1,1
652,2,1,1,1,1,1
653,3,1,1,1,1,1
654,4,0,0,0,1,1
655,0,0,0,0,0,0
656,1,1,1,1,1,1
657,2,0,1,1,1,1
658,3,1,1,1,1,1
659,4,0,0,0,0,1
660,0,0,0,0,0,0
661,1,1,1,1,1,1
662,2,0,1,1,1,1
663,3,1,1,1,1,1
664,4,0,0,0,0,1
665,0,0,0,0,0,0
666,1,1,1,1,1,1
667,2,0,1,1,1,1
668,3,1,1,1,1,1
669,4,0,0,0,0,1
670,0,0,0,0,0,0
671,1,1,1,1,1,1
672,2,0,1,1,1,1
673,3,1,1,1,1,1
674,4,0,0,0,0,1
675,0,0,0,0,0,0
676,1,1,1,1,1,1
677,2,0,1,1,1,1
678,3,1,1,1,1,1
679,4,0,0,0,0,1
680,0,0,0,0,0,0
681,1,1,1,1,1,1
682,2,1,1,1,1,1
683,3,1,1,1,1,1
684,4,0,0,0,0,1
685,0,0,0,0,0,0
686,1,1,1,1,1,1
687,2,0,1,1,1,1
688,3,1,1,1,1,1
689,4,0,0,0,1,1
690,0,0,0,0,0,0
691,1,1,1,1,1,1
692,2,0,1,1,1,1
693,3,1,1,1,1,1
694,4,0,0,0,0,1
695,0,0,0,0,0,0
696,1,1,1,1,1,1
697,2,0,1,1,1,1
698,3,1,1,1,1,1
699,4,0,0,0,0,1
700,0,0,0,0,0,0
701,1,1,1,1,1,1
702,2,0,1,1,1,1
703,3,1,1,1,1,1
704,4,0,0,1,0,1
705,0,0,0,0,0,0
706,1,1,1,1,1,1
707,2,0,1,1,1,1
708,3,1,1,1,1,1
709,4,0,0,0,0,1
710,0,0,0,0,0,0
711,1,1,1,1,1,1
712,2,0,1,1,1,1
713,3,1,1,1,1,1
714,4,0,0,0,0,1
715,0,0,0,0,0,0
716,1,1,1,1,1,1
717,2,0,1,1,1,1
718,3,1,1,1,1,1
719,4,0,0,0,1,1
720,0,0,0,0,0,0
721,1,1,1,1,1,1
722,2,0,1,1,1,1
723,3,1,1,1,1,1
724,4,0,1,0,0,1
725,0,0,0,0,0,0
726,1,1,1,1,1,1
727,2,0,1,1,1,1
728,3,1,1,1,1,1
729,4,0,1,0,0,1
730,0,0,0,0,0,0
731,1,1,1,1,1,1
732,2,0,1,1,1,1
733,3,1,1,1,1,1
734,4,0,0,0,0,1
735,0,0,0,0,0,0
736,1,1,1,1,1,1
737,2,0,1,1,1,1
738,3,1,1,1,1,1
739,4,0,1,0,0,1
740,0,0,0,0,0,0
741,1,1,1,1,1,1
742,2,0,1,1,1,1
743,3,1,1,1,1,1
744,4,0,0,0,1,1
745,0,0,0,0,0,0
746,1,1,1,1,1,1
747,2,0,1,1,1,1
748,3,1,1,1,1,1
749,4,0,0,1,1,1
750,0,0,0,0,0,0
751,1,1,1,1,1,1
752,2,0,1,1,1,1
753,3,1,1,1,1,1
754,4,0,0,1,0,1
755,0,0,0,0,0,0
756,1,1,1,1,1,1
757,2,0,1,1,1,1
758,3,1,1,1,1,1
759,4,0,0,0,0,1
760,0,0,0,0,0,0
761,1,1,1,1,1,1
762,2,0,1,1,1,1
763,3,1,1,1,1,1
764,4,0,0,1,0,1
765,0,0,0,0,0,0
766,1,1,1,1,1,1
767,2,0,1,1,1,1
768,3,1,1,1,1,1
769,4,0,0,0,1,1
770,0,0,0,0,0,0
771,1,1,1,1,1,1
772,2,0,1,1,1,1
773,3,1,1,1,1,1
774,4,0,1,1,0,1
775,0,0,0,0,0,0
776,1,1,1,1,1,1
777,2,0,1,1,1,1
778,3,1,1,1,1,1
779,4,0,0,1,0,1
780,0,0,0,0,0,0
781,1,1,1,1,1,1
782,2,0,1,1,1,1
783,3,1,1,1,1,1
784,4,0,0,0,0,1
785,0,0,0,0,0,0
786,1,1,1,1,1,1
787,2,0,1,1,1,1
788,3,1,1,1,1,1
789,4,0,0,1,0,1
790,0,0,0,0,0,0
791,1,1,1,1,1,1
792,2,0,1,1,1,1
793,3,1,1,1,1,1
794,4,0,0,0,1,1
795,0,0,0,0,0,0
796,1,1,1,1,1,1
797,2,0,1,1,1,1
798,3,1,1,1,1,1
799,4,0,0,1,0,1
800,0,0,0,0,0,0
801,1,1,1,1,1,1
802,2,0,1,1,1,1
803,3,1,1,1,1,1
804,4,0,0,0,1,1
805,0,0,0,0,0,0
806,1,1,1,1,1,1
807,2,0,1,1,1,1
808,3,1,1,1,1,1
809,4,0,0,1,0,1
810,0,0,0,0,0,0
811,1,1,1,1,1,1
812,2,1,1,1,1,1
813,3,1,1,1,1,1
814,4,0,1,0,0,1
815,0,0,0,0,0,0
816,1,1,1,1,1,1
817,2,0,1,1,1,1
818,3,1,1,1,1,1
819,4,0,0,0,0,1
820,0,0,0,0,0,0
821,1,1,1,1,1,1
822,2,0,1,1,1,1
823,3,1,1,1,1,1
824,4,0,1,0,0,1
825,0,0,0,0,0,0
826,1,1,1,1,1,1
827,2,1,1,1,1,1
828,3,1,1,1,1,1
829,4,0,0,0,0,1
830,0,0,0,0,0,0
831,1,1,1,1,1,1
832,2,0,1,1,1,1
833,3,1,1,1,1,1
834,4,0,0,0,1,1
835,0,0,0,0,0,0
836,1,1,1,1,1,1
837,2,0,1,1,1,1
838,3,1,1,1,1,1
839,4,0,0,0,1,1
840,0,0,0,0,0,0
841,1,1,1,1,1,1
842,2,0,1,1,1,1
843,3,1,1,1,1,1
844,4,0,1,0,0,1
845,0,0,0,0,0,0
846,1,1,1,1,1,1
847,2,0,1,1,1,1
848,3,1,1,1,1,1
